id,text,obfuscatedText,mechanism,epsilon
156493,do goldfish grow,do batina could,VickreyCMP,15
1110199,what is wifi vs bluetooth,obscures driving wi al-shaab bluetooth,VickreyCMP,15
1063750,why did the us volunterilay enter ww1,preferred not their us ethan enter ww1,VickreyCMP,15
130510,definition declaratory judgment,defined politicization judgment,VickreyCMP,15
489204,right pelvic pain causes,straight pelvic elbow cause,VickreyCMP,15
573724,what are the social determinants of health,goes now butler ideas cohort using healthcare,VickreyCMP,15
1133167,how is the weather in jamaica,intensity california jeopardize unseasonably in jamaica,VickreyCMP,15
527433,types of dysarthria from cerebral palsy,uncommon of 84.69 zip palsy palsy,VickreyCMP,15
1037798,who is robert gray,who known robert scratched,VickreyCMP,15
915593,what types of food can you cook sous vide,which types part mainly forms `` cook maitre vide,VickreyCMP,15
264014,how long is life cycle of flea,so left is starlight conclude bringing slammed,VickreyCMP,15
1121402,what can contour plowing reduce,want must nocht plowing eliminate,VickreyCMP,15
962179,when was the salvation army founded,last known recall salvation permanently build,VickreyCMP,15
1117099,what is a active margin,exactly albeit breitbart fuchu margin,VickreyCMP,15
148538,difference between rn and bsn,rosenbach between 55 well unops,VickreyCMP,15
451602,medicare's definition of mechanical ventilation,barb definition entry aerodynamics ventilation,VickreyCMP,15
359349,how to find the midsegment of a trapezoid,what palace find perks pagemill seen a trapezoid,VickreyCMP,15
1115776,what is an aml surveillance analyst,what is detonation kazakhistan agents demisch,VickreyCMP,15
1112341,what is the daily life of thai people,what thankful capable newspaper mutual begins thailand bathrooms,VickreyCMP,15
131843,definition of a sigmet,definitions of companion ejova,VickreyCMP,15
104861,cost of interior concrete flooring,o'faolain an architect painted oems,VickreyCMP,15
833860,what is the most popular food in switzerland,understand now another coinciding urge reports in switzerland,VickreyCMP,15
207786,how are some sharks warm blooded,watch are putting cruising warm knifefish,VickreyCMP,15
1132213,how long to hold bow in yoga,timing years to societies bow came pilates,VickreyCMP,15
1114819,what is durable medical equipment consist of,often tolon precariously emergency equipment usually throughout,VickreyCMP,15
183378,exons definition biology,exons mobility biochemistry,VickreyCMP,15
1106007,define visceral?,define kittredge,VickreyCMP,15
1124210,tracheids are part of _____.,tracheids priced leaving grounding cholla,VickreyCMP,15
287683,how many liberty ships were built in brunswick,man ntv docked ships were build characters lynn,VickreyCMP,15
490595,rsa definition key,sundowns definition key,VickreyCMP,15
1103812,who formed the commonwealth of independent states,driver join sent arlington evils independent brazil,VickreyCMP,15
87181,causes of left ventricular hypertrophy,causes originated left ventricular hyperventilation,VickreyCMP,15
443396,lps laws definition,trailers laws implies,VickreyCMP,15
87452,causes of military suicide,causes of international suicide,VickreyCMP,15
855410,what is theraderm used for,bud finest handouts commonly failure,VickreyCMP,15
1114646,what is famvir prescribed for,most considered duvernoy intravenous for,VickreyCMP,15
19335,anthropological definition of environment,anthropological law weeks climate,VickreyCMP,15
47923,axon terminals or synaptic knob definition,axon terminal who synaptic snood s/2004,VickreyCMP,15
405717,is cdg airport in main paris,educate pacom taoyuan expanded main paris,VickreyCMP,15
182539,example of monotonic function,937 of quasiconformal functions,VickreyCMP,15
1113437,what is physical description of spruce,think is endure descriptions from milled,VickreyCMP,15
1129237,hydrogen is a liquid below what temperature,helium is lieutenant liquid above what below,VickreyCMP,15
146187,difference between a mcdouble and a double cheeseburger,audience sides squeeze rumors improve treatment greece whopper,VickreyCMP,15
